name,category
pGL4.52[luc2P/STAT5RE/Hygro],哺乳动物载体
pGL4.48[luc2P/SBE/Hygro],哺乳动物载体
pGL4.43[luc2P/XRE/Hygro],哺乳动物载体
pGL4.11[luc2P],哺乳动物载体
pGL4.39[luc2P/ATF6 RE/Hygro],哺乳动物载体
pGL4.10,哺乳动物载体
pGL4.26,哺乳动物载体
pGL4.75,哺乳动物载体
pGL4.37[luc2P/ARE/Hygro],哺乳动物载体
pcDNA3.1/His C,哺乳动物载体
pIRESpuro3,哺乳动物载体
pSEAP2-Basic,哺乳动物载体
pBI-CMV2,哺乳动物载体
pCRE-MetLuc2-Reporter,哺乳动物载体
pAcGFP1-C,哺乳动物载体
pAcGFP1-Lam,哺乳动物载体
pAcGFP1-Hyg-C1,哺乳动物载体
pCMV-tdTomato,哺乳动物载体
pEF1α-tdTomato,哺乳动物载体
pAsRed2-C1,哺乳动物载体
pAcGFP1-C2,哺乳动物载体
pAcGFP1-N2,哺乳动物载体
pCRE-DD-AmCyan1,哺乳动物载体
pDsRED2-Mito,哺乳动物载体
pAmCyan1-C1,哺乳动物载体
pDsRed-Express-N1,哺乳动物载体
pIRES2-ZsGreen1,哺乳动物载体
pEF1α-DsRed-Express2,哺乳动物载体
pIRES-hrGFP-1a,哺乳动物载体
pIREShyg3,哺乳动物载体
pIRES2-AcGFP1,哺乳动物载体
pBApo-EF1α-neo,哺乳动物载体
pBApo-CMV-Pur,哺乳动物载体
pFLAG-CMV2,哺乳动物载体
pCMV-MEKK1,哺乳动物载体
pcDNA6.2/nTC-Tag-DEST,哺乳动物载体
pcDNA6.2/V5/GW/D-TOPO,哺乳动物载体
pcDNA6.2/cGeneBLAzer-DEST,哺乳动物载体
pcDNA6/V5-His C,哺乳动物载体
pcDNA6/myc-His B,哺乳动物载体
pcDNA6.2/nLumio-DEST,哺乳动物载体
pcDNA4/HisMax C,哺乳动物载体
pcDNA4/HisMax B,哺乳动物载体
pcDNA4/His C,哺乳动物载体
pcDNA6/TR,哺乳动物载体
pcDNA4/TO/Myc-His B,哺乳动物载体
pFLAG-CMV-4,哺乳动物载体
pFLAG-CMV-5a,哺乳动物载体
p3XFLAG-CMV-8,哺乳动物载体
p3XFLAG-CMV-13,哺乳动物载体
pCMV-Tag 3C,哺乳动物载体
pCMV-Tag 5C,哺乳动物载体
pCMV-Tag 5B,哺乳动物载体
pCMV-Tag 2B,哺乳动物载体
pEF1α-IRES-AcGFP1,哺乳动物载体
pIRES2-DsRed2,哺乳动物载体
pBK-RSV,哺乳动物载体
pOPI3CAT,哺乳动物载体
pVgRxR,哺乳动物载体
pTRE3G,哺乳动物载体
pTet on advanced,哺乳动物载体
pCMV-AD,哺乳动物载体
pBIND,哺乳动物载体
pACT,哺乳动物载体
pSecTag2 A,哺乳动物载体
pcDNA3.1/GS,哺乳动物载体
pcDNA3.1/Myc-His B,哺乳动物载体
pEF6/V5-His C,哺乳动物载体
pEF6/His C,哺乳动物载体
pEF4/V5-His C,哺乳动物载体
pEF1/V5-His B,哺乳动物载体
pEF4/myc-His B,哺乳动物载体
pEF4/His C,哺乳动物载体
pEGFP-N1,哺乳动物载体
pEGFP-C2,哺乳动物载体
pcDNA3.1(+),哺乳动物载体
pcDNA3.1/Hygro(+),哺乳动物载体
pMIR-Report Luciferase,哺乳动物载体
pLEGFP-C1,哺乳动物载体
pcDNA3.1+N-6HIS,哺乳动物载体
pcDNA3.1+P2A,哺乳动物载体
pSinRep5,哺乳动物载体
pAcGFP1-Mito,哺乳动物载体
pNL4-3-Luc-R-E-,哺乳动物载体
pCMV-LacZ,哺乳动物载体
phRL-TK,哺乳动物载体
pcDNA3.1(+)/CAT,哺乳动物载体
pcDNA6.2/EmGFP-Bsd/V5-DEST,哺乳动物载体
pCMV6-XL4,哺乳动物载体
pCEP4-YFP,哺乳动物载体
pCG,哺乳动物载体
